,ID_Emmissions,Co2,CO,HC,NOx,HC_NOX,Particules
0,0,182.0,0.647000015,0.052000001,0.032000002,0.0,0.002
1,1,186.0,0.647000015,0.052000001,0.032000002,0.0,0.002
2,2,134.0,0.066,0.0,0.149000004,0.174999997,0.001
3,3,134.0,0.066,0.0,0.149000004,0.174999997,0.001
4,4,139.0,0.059999999,0.0,0.164000005,0.193000004,0.001
5,5,139.0,0.059999999,0.0,0.164000005,0.193000004,0.001
6,6,136.0,0.192000002,0.0,0.169,0.189999998,0.003
7,7,137.0,0.066,0.0,0.149000004,0.174999997,0.001
8,8,137.0,0.066,0.0,0.149000004,0.174999997,0.001
9,9,142.0,0.059999999,0.0,0.164000005,0.193000004,0.001
10,10,142.0,0.059999999,0.0,0.164000005,0.193000004,0.001
11,11,139.0,0.192000002,0.0,0.169,0.189999998,0.003
12,12,157.0,0.404000014,0.044,0.037999999,0.0,0.003
13,13,379.0,0.500999987,0.037999999,0.027000001,0.0,0.0
14,14,379.0,0.500999987,0.037999999,0.027000001,0.0,0.0
15,15,189.0,0.601000011,0.059999999,0.039999999,0.0,0.003
16,16,189.0,0.601000011,0.059999999,0.039999999,0.0,0.003
17,17,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
18,18,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
19,19,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
20,20,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
21,21,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
22,22,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
23,23,134.0,0.275999993,0.048,0.028999999,0.0,0.0
24,24,134.0,0.275999993,0.048,0.028999999,0.0,0.0
25,25,132.0,0.275999993,0.048,0.028999999,0.0,0.0
26,26,134.0,0.275999993,0.048,0.028999999,0.0,0.0
27,27,132.0,0.275999993,0.048,0.028999999,0.0,0.0
28,28,132.0,0.275999993,0.048,0.028999999,0.0,0.0
29,29,134.0,0.275999993,0.048,0.028999999,0.0,0.0
30,30,132.0,0.275999993,0.048,0.028999999,0.0,0.0
31,31,134.0,0.275999993,0.048,0.028999999,0.0,0.0
32,32,134.0,0.275999993,0.048,0.028999999,0.0,0.0
33,33,134.0,0.275999993,0.048,0.028999999,0.0,0.0
34,34,132.0,0.275999993,0.048,0.028999999,0.0,0.0
35,35,132.0,0.275999993,0.048,0.028999999,0.0,0.0
36,36,131.0,0.465999991,0.044,0.035,0.0,0.0
37,37,131.0,0.465999991,0.044,0.035,0.0,0.0
38,38,131.0,0.465999991,0.044,0.035,0.0,0.0
39,39,131.0,0.465999991,0.044,0.035,0.0,0.0
40,40,131.0,0.465999991,0.044,0.035,0.0,0.0
41,41,131.0,0.465999991,0.044,0.035,0.0,0.0
42,42,134.0,0.275999993,0.048,0.028999999,0.0,0.0
43,43,134.0,0.275999993,0.048,0.028999999,0.0,0.0
44,44,134.0,0.275999993,0.048,0.028999999,0.0,0.0
45,45,134.0,0.275999993,0.048,0.028999999,0.0,0.0
46,46,134.0,0.275999993,0.048,0.028999999,0.0,0.0
47,47,134.0,0.275999993,0.048,0.028999999,0.0,0.0
48,48,134.0,0.275999993,0.048,0.028999999,0.0,0.0
49,49,134.0,0.275999993,0.048,0.028999999,0.0,0.0
50,50,121.0,0.439999998,0.037,0.029999999,0.0,0.0
51,51,121.0,0.439999998,0.037,0.029999999,0.0,0.0
52,52,121.0,0.439999998,0.037,0.029999999,0.0,0.0
53,53,121.0,0.439999998,0.037,0.029999999,0.0,0.0
54,54,121.0,0.439999998,0.037,0.029999999,0.0,0.0
55,55,121.0,0.439999998,0.037,0.029999999,0.0,0.0
56,56,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
57,57,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
58,58,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
59,59,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
60,60,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
61,61,119.0,0.319000006,0.050000001,0.039000001,0.0,0.0
62,62,117.0,0.317999989,0.050000001,0.039000001,0.0,0.0
63,63,117.0,0.317999989,0.050000001,0.039000001,0.0,0.0
64,64,121.0,0.439999998,0.037,0.029999999,0.0,0.0
65,65,121.0,0.439999998,0.037,0.029999999,0.0,0.0
66,66,121.0,0.439999998,0.037,0.029999999,0.0,0.0
67,67,121.0,0.439999998,0.037,0.029999999,0.0,0.0
68,68,121.0,0.439999998,0.037,0.029999999,0.0,0.0
69,69,121.0,0.439999998,0.037,0.029999999,0.0,0.0
70,70,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
71,71,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
72,72,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
73,73,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
74,74,148.0,0.279000014,0.037999999,0.02,0.0,0.0
75,75,148.0,0.279000014,0.037999999,0.02,0.0,0.0
76,76,148.0,0.279000014,0.037999999,0.02,0.0,0.0
77,77,148.0,0.279000014,0.037999999,0.02,0.0,0.0
78,78,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
79,79,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
80,80,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
81,81,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
82,82,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
83,83,134.0,0.381999999,0.046,0.017999999,0.0,0.0
84,84,148.0,0.360000014,0.035999998,0.013,0.0,0.0
85,85,148.0,0.279000014,0.037999999,0.02,0.0,0.0
86,86,148.0,0.279000014,0.037999999,0.02,0.0,0.0
87,87,148.0,0.279000014,0.037999999,0.02,0.0,0.0
88,88,148.0,0.279000014,0.037999999,0.02,0.0,0.0
89,89,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
90,90,149.0,0.356000006,0.029999999,0.026000001,0.0,0.0
91,91,112.0,0.215000004,0.0,0.172999993,0.207000002,0.001
92,92,112.0,0.215000004,0.0,0.172999993,0.207000002,0.001
93,93,104.0,0.308999985,0.0,0.163000003,0.202000007,0.001
94,94,104.0,0.308999985,0.0,0.163000003,0.202000007,0.001
95,95,114.0,0.215000004,0.0,0.172999993,0.207000002,0.001
96,96,114.0,0.215000004,0.0,0.172999993,0.207000002,0.001
97,97,114.0,0.215000004,0.0,0.172999993,0.207000002,0.001
98,98,114.0,0.215000004,0.0,0.172999993,0.207000002,0.001
99,99,177.0,0.375,0.048999999,0.022,0.0,0.001
100,100,177.0,0.375,0.048999999,0.022,0.0,0.001
101,101,162.0,0.407999992,0.043000001,0.02,0.0,0.0
102,102,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
103,103,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
104,104,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
105,105,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
106,106,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
107,107,119.0,0.388999999,0.0,0.160999998,0.214000002,0.001
108,108,110.0,0.244000003,0.0,0.153999999,0.188999996,0.001
109,109,110.0,0.244000003,0.0,0.153999999,0.188999996,0.001
110,110,110.0,0.244000003,0.0,0.153999999,0.188999996,0.001
111,111,110.0,0.244000003,0.0,0.153999999,0.188999996,0.001
112,112,124.0,0.151999995,0.0,0.158000007,0.201000005,0.002
113,113,124.0,0.151999995,0.0,0.158000007,0.201000005,0.002
114,114,124.0,0.151999995,0.0,0.158000007,0.201000005,0.002
115,115,124.0,0.151999995,0.0,0.158000007,0.201000005,0.002
116,116,124.0,0.151999995,0.0,0.158000007,0.201000005,0.002
117,117,119.0,0.181999996,0.0,0.159999996,0.186000004,0.001
118,118,119.0,0.181999996,0.0,0.159999996,0.186000004,0.001
119,119,119.0,0.181999996,0.0,0.159999996,0.186000004,0.001
120,120,119.0,0.181999996,0.0,0.159999996,0.186000004,0.001
121,121,116.0,0.123999998,0.0,0.034000002,0.075000003,0.0
122,122,116.0,0.123999998,0.0,0.034000002,0.075000003,0.0
123,123,99.0,0.316000015,0.041000001,0.034000002,0.0,0.0
124,124,99.0,0.316000015,0.041000001,0.034000002,0.0,0.0
125,125,88.0,0.316000015,0.041000001,0.034000002,0.0,0.0
126,126,88.0,0.316000015,0.041000001,0.034000002,0.0,0.0
127,127,98.0,0.527999997,0.048999999,0.037,0.0,0.0
128,128,98.0,0.527999997,0.048999999,0.037,0.0,0.0
129,129,90.0,0.393000007,0.0,0.166999996,0.194000006,0.001
130,130,90.0,0.393000007,0.0,0.166999996,0.194000006,0.001
131,131,95.0,0.314999998,0.0,0.164000005,0.188999996,0.001
132,132,95.0,0.314999998,0.0,0.164000005,0.188999996,0.001
133,133,90.0,0.393000007,0.0,0.166999996,0.194000006,0.001
134,134,90.0,0.393000007,0.0,0.166999996,0.194000006,0.001
135,135,88.0,0.393000007,0.0,0.166999996,0.194000006,0.001
136,136,88.0,0.393000007,0.0,0.166999996,0.194000006,0.001
137,137,95.0,0.314999998,0.0,0.164000005,0.188999996,0.001
138,138,95.0,0.314999998,0.0,0.164000005,0.188999996,0.001
139,139,85.0,0.393000007,0.0,0.166999996,0.194000006,0.001
140,140,85.0,0.393000007,0.0,0.166999996,0.194000006,0.001
141,141,104.0,0.310000002,0.0,0.169,0.194000006,0.002
142,142,104.0,0.310000002,0.0,0.169,0.194000006,0.002
143,143,145.0,0.574000001,0.037999999,0.017999999,0.0,0.0
144,144,145.0,0.574000001,0.037999999,0.017999999,0.0,0.0
145,145,136.0,0.192000002,0.048999999,0.039999999,0.0,0.0
146,146,134.0,0.192000002,0.048999999,0.039999999,0.0,0.0
147,147,134.0,0.192000002,0.048999999,0.039999999,0.0,0.0
148,148,134.0,0.232999995,0.033,0.026000001,0.0,0.0
149,149,134.0,0.232999995,0.033,0.026000001,0.0,0.0
150,150,134.0,0.232999995,0.033,0.026000001,0.0,0.0
151,151,134.0,0.232999995,0.033,0.026000001,0.0,0.0
152,152,130.0,0.337000012,0.048,0.037,0.0,0.0
153,153,130.0,0.337000012,0.048,0.037,0.0,0.0
154,154,130.0,0.337000012,0.048,0.037,0.0,0.0
155,155,130.0,0.337000012,0.048,0.037,0.0,0.0
156,156,129.0,0.518999994,0.052000001,0.032000002,0.0,0.0
157,157,129.0,0.518999994,0.052000001,0.032000002,0.0,0.0
158,158,139.0,0.254000008,0.02,0.024,0.0,0.0
159,159,139.0,0.254000008,0.02,0.024,0.0,0.0
160,160,126.0,0.254999995,0.021,0.024,0.0,0.0
161,161,126.0,0.254999995,0.021,0.024,0.0,0.0
162,162,124.0,0.363999993,0.044,0.033,0.0,0.0
163,163,124.0,0.363999993,0.044,0.033,0.0,0.0
164,164,124.0,0.363999993,0.044,0.033,0.0,0.0
165,165,124.0,0.363999993,0.044,0.033,0.0,0.0
166,166,124.0,0.363999993,0.044,0.033,0.0,0.0
167,167,124.0,0.363999993,0.044,0.033,0.0,0.0
168,168,114.0,0.388999999,0.0,0.155000001,0.216000006,0.001
169,169,114.0,0.388999999,0.0,0.155000001,0.216000006,0.001
170,170,114.0,0.388999999,0.0,0.155000001,0.216000006,0.001
171,171,114.0,0.388999999,0.0,0.155000001,0.216000006,0.001
172,172,112.0,0.388999999,0.0,0.155000001,0.216000006,0.001
173,173,112.0,0.388999999,0.0,0.155000001,0.216000006,0.001
174,174,112.0,0.388999999,0.0,0.155000001,0.216000006,0.001
175,175,112.0,0.388999999,0.0,0.155000001,0.216000006,0.001
176,176,192.0,0.601000011,0.059999999,0.039999999,0.0,0.003
177,177,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
178,178,142.0,0.188999996,0.0,0.155000001,0.180000007,0.002
179,179,116.0,0.296000004,0.034000002,0.021,0.0,0.0
180,180,120.0,0.214000002,0.039999999,0.006,0.0,0.0
181,181,116.0,0.296000004,0.034000002,0.021,0.0,0.0
182,182,120.0,0.214000002,0.039999999,0.006,0.0,0.0
183,183,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
184,184,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
185,185,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
186,186,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
187,187,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
188,188,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
189,189,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
190,190,333.0,0.187000006,0.041000001,0.028999999,0.0,0.0
191,191,555.0,0.902999997,0.075000003,0.056000002,0.0,0.0
192,192,555.0,0.902999997,0.075000003,0.056000002,0.0,0.0
193,193,572.0,0.782000005,0.067000002,0.048999999,0.0,0.0
194,194,572.0,0.782000005,0.067000002,0.048999999,0.0,0.0
195,195,332.0,0.250999987,0.035,0.029999999,0.0,0.0
196,196,332.0,0.250999987,0.035,0.029999999,0.0,0.0
197,197,388.0,0.326000005,0.030999999,0.013,0.0,0.0
198,198,388.0,0.326000005,0.030999999,0.013,0.0,0.0
199,199,388.0,0.326000005,0.030999999,0.013,0.0,0.0
200,200,388.0,0.326000005,0.030999999,0.013,0.0,0.0
201,201,388.0,0.326000005,0.030999999,0.013,0.0,0.0
202,202,388.0,0.326000005,0.030999999,0.013,0.0,0.0
203,203,321.0,0.588,0.050000001,0.037,0.0,0.0
204,204,321.0,0.588,0.050000001,0.037,0.0,0.0
205,205,299.0,0.528999984,0.044,0.014,0.0,0.0
206,206,299.0,0.528999984,0.044,0.014,0.0,0.0
207,207,321.0,0.588,0.050000001,0.037,0.0,0.0
208,208,299.0,0.528999984,0.044,0.014,0.0,0.0
209,209,299.0,0.528999984,0.044,0.014,0.0,0.0
210,210,321.0,0.588,0.050000001,0.037,0.0,0.0
211,211,321.0,0.588,0.050000001,0.037,0.0,0.0
212,212,321.0,0.588,0.050000001,0.037,0.0,0.0
213,213,299.0,0.528999984,0.044,0.014,0.0,0.0
214,214,299.0,0.528999984,0.044,0.014,0.0,0.0
215,215,321.0,0.588,0.050000001,0.037,0.0,0.0
216,216,321.0,0.588,0.050000001,0.037,0.0,0.0
217,217,299.0,0.528999984,0.044,0.014,0.0,0.0
218,218,299.0,0.528999984,0.044,0.014,0.0,0.0
219,219,335.0,0.619000018,0.039000001,0.037,0.0,0.0
220,220,335.0,0.619000018,0.039000001,0.037,0.0,0.0
221,221,335.0,0.619000018,0.039000001,0.037,0.0,0.0
