,ID_Marque,Marque,Modele_com,Designation_com
0,0,ALFA-ROMEO,159,159 1750 Tbi (200ch)
1,1,ALFA-ROMEO,159,159 2.0 JTDm (136ch)
2,2,ALFA-ROMEO,159,159 2.0 JTDm (170ch)
3,3,ALFA-ROMEO,159,159 2.0 JTDm (170ch) ECO
4,4,ALFA-ROMEO,159,159 SW 2.0 JTDm (136ch)
5,5,ALFA-ROMEO,159,159 SW 2.0 JTDm (170ch)
6,6,ALFA-ROMEO,159,159 SW 2.0 JTDm (170ch) ECO
7,7,ALFA-ROMEO,4C,4C
8,8,ALFA-ROMEO,AR8C SPIDER,8C SPIDER
9,9,ALFA-ROMEO,BRERA,BRERA 1750 TBI (200ch)
10,10,ALFA-ROMEO,BRERA,BRERA 2.0 JTDm (170ch)
11,11,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.4 MPI T-jet (120ch) S/S
12,12,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.4 TB MultiAir (170ch) S/S
13,13,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S
14,14,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.4 T-jet (105ch) S/S
15,15,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.4 T-jet (120ch) S/S
16,16,ALFA-ROMEO,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S
17,17,ALFA-ROMEO,GIULIETTA,GIULIETTA 1750 Tbi (235ch) Quadrifoglio Verde
18,18,ALFA-ROMEO,GIULIETTA,GIULIETTA 1750 Tbi TCT (240ch) Quadrifoglio Verde
19,19,ALFA-ROMEO,GIULIETTA,GIULIETTA 2.0 JTDm (140ch) S/S
20,20,ALFA-ROMEO,GIULIETTA,GIULIETTA 2.0 JTDm (150ch) S/S
21,21,ALFA-ROMEO,GIULIETTA,GIULIETTA 2.0 JTDm (170ch) S/S
22,22,ALFA-ROMEO,GIULIETTA,GIULIETTA 2.0 JTDm TCT (170ch) S/S
23,23,ALFA-ROMEO,GIULIETTA,GIULIETTA 2.0 JTDm TCT (175ch) S/S
24,24,ALFA-ROMEO,MITO,MITO 0.9 Twin Air (105ch) S/S
25,25,ALFA-ROMEO,MITO,MITO 0.9 Twin Air (85ch) S/S
26,26,ALFA-ROMEO,MITO,MITO 1.3 JTDm (85ch) S/S
27,27,ALFA-ROMEO,MITO,MITO 1.3 JTDm (95ch) S/S
28,28,ALFA-ROMEO,MITO,MITO 1.4 GPL Turbo (120ch) S/S
29,29,ALFA-ROMEO,MITO,MITO 1.4 MPI (105ch) MultiAir
30,30,ALFA-ROMEO,MITO,MITO 1.4 MPI (70ch)
31,31,ALFA-ROMEO,MITO,MITO 1.4 MPI (78ch) S/S
32,32,ALFA-ROMEO,MITO,MITO 1.4 TB (135ch) MultiAir
33,33,ALFA-ROMEO,MITO,MITO 1.4 TB (170ch) MultiAir
34,34,ALFA-ROMEO,MITO,MITO 1.4 TB MultiAir (135ch) Alfa TCT S/S
35,35,ALFA-ROMEO,MITO,MITO 1.4 TB MultiAir (140ch) Alfa TCT S/S
36,36,ALFA-ROMEO,MITO,MITO 1.4 TB MultiAir (170ch) Alfa TCT S/S Quadrifoglio Verde
37,37,ALFA-ROMEO,MITO,MITO 1.4 TB TCT (170ch) MultiAir
38,38,ALFA-ROMEO,MITO,MITO 1.6 JTDm (120ch) S/S
39,39,ALFA-ROMEO,SPIDER,SPIDER 1750 TBI (200ch)
40,40,ALFA-ROMEO,SPIDER,SPIDER 2.0 JTDm (170ch)
41,41,ASTON MARTIN,CYGNET,CYGNET
42,42,ASTON MARTIN,DB9,DB9
43,43,ASTON MARTIN,DB9 VOLANTE,DB9
44,44,ASTON MARTIN,ONE-77,ONE-77
45,45,ASTON MARTIN,RAPIDE S,RAPIDE S
46,46,ASTON MARTIN,V12 VANTAGE,V12 VANTAGE
47,47,ASTON MARTIN,V12 VANTAGE ROADSTER,V12 VANTAGE ROADSTER
48,48,ASTON MARTIN,V12 ZAGATO,V12 ZAGATO
49,49,ASTON MARTIN,V8 VANTAGE,V8 VANTAGE
50,50,ASTON MARTIN,V8 VANTAGE,V8 VANTAGE S
51,51,ASTON MARTIN,V8 VANTAGE ROADSTER,V8 VANTAGE ROADSTER
52,52,ASTON MARTIN,V8 VANTAGE ROADSTER,V8 VANTAGE ROADSTER  S
53,53,ASTON MARTIN,VANQUISH,VANQUISH
54,54,ASTON MARTIN,VANTAGE,V12 VANTAGE
55,55,ASTON MARTIN,VANTAGE,V8 VANTAGE ROADSTER  S
56,56,ASTON MARTIN,VANTAGE,V8 VANTAGE S
57,57,ASTON MARTIN,VANTAGE,VANTAGE
58,58,AUDI,A1,A1 1.2 TFSI (86ch)
59,59,AUDI,A1,A1 1.4 TFSI (122ch)
60,60,AUDI,A1,A1 1.4 TFSI (122ch) S TRONIC
61,61,AUDI,A1,A1 1.4 TFSI (140ch)
62,62,AUDI,A1,A1 1.4 TFSI (140ch) S TRONIC
63,63,AUDI,A1,A1 1.4 TFSI (185ch) S TRONIC
64,64,AUDI,A1,A1 1.6 TDI (105ch)
65,65,AUDI,A1,A1 1.6 TDI (90ch)
66,66,AUDI,A1,A1 1.6 TDI (90ch) S TRONIC
67,67,AUDI,A1,A1 2.0 TDI (143ch)
68,68,AUDI,A1 QUATTRO,A1 QUATTRO
69,69,AUDI,A1 SPORTBACK,A1 1.2 TFSI (86ch)
70,70,AUDI,A1 SPORTBACK,A1 1.4 TFSI (122ch)
71,71,AUDI,A1 SPORTBACK,A1 1.4 TFSI (122ch) S TRONIC
72,72,AUDI,A1 SPORTBACK,A1 1.4 TFSI (140ch)
73,73,AUDI,A1 SPORTBACK,A1 1.4 TFSI (140ch) S TRONIC
74,74,AUDI,A1 SPORTBACK,A1 1.4 TFSI (185ch) S TRONIC
75,75,AUDI,A1 SPORTBACK,A1 1.6 TDI (105ch)
76,76,AUDI,A1 SPORTBACK,A1 1.6 TDI (90ch)
77,77,AUDI,A1 SPORTBACK,A1 1.6 TDI (90ch) S TRONIC
78,78,AUDI,A1 SPORTBACK,A1 2.0 TDI (143ch)
79,79,AUDI,A3,A3 1.2 TFSI (105ch)
80,80,AUDI,A3,A3 1.2 TFSI (105ch) S TRONIC
81,81,AUDI,A3,A3 1.4 TFSI (122ch)
82,82,AUDI,A3,A3 1.4 TFSI (122ch) S tronic
83,83,AUDI,A3,A3 1.4 TFSI (140ch)
84,84,AUDI,A3,A3 1.4 TFSI (140ch) S TRONIC
85,85,AUDI,A3,A3 1.6 TDI (105ch)
86,86,AUDI,A3,A3 1.6 TDI (105ch) S tronic
87,87,AUDI,A3,A3 1.6 TDI ultra (110ch)
88,88,AUDI,A3,A3 1.8 TFSI (180ch)
89,89,AUDI,A3,A3 1.8 TFSI (180ch) QUATTRO S tronic
90,90,AUDI,A3,A3 1.8 TFSI (180ch) S tronic
91,91,AUDI,A3,A3 2.0 TDI (150ch)
92,92,AUDI,A3,A3 2.0 TDI (150ch) quattro
93,93,AUDI,A3,A3 2.0 TDI (150ch) S tronic
94,94,AUDI,A3,A3 2.0 TDI (184ch)
95,95,AUDI,A3,A3 2.0 TDI (184ch) quattro S trnoic
96,96,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.4 TFSI (125ch)
97,97,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.4 TFSI (125ch) S tronic
98,98,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.4 TFSI (140ch)
99,99,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.4 TFSI (140ch) S tronic
100,100,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.6 TDI (110ch)
101,101,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.8 TFSI (180ch)
102,102,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.8 TFSI (180ch) quattro S tronic
103,103,AUDI,A3 CABRIOLET,A3 CABRIOLET 1.8 TFSI (180ch) S tronic
104,104,AUDI,A3 CABRIOLET,A3 CABRIOLET 2.0 TDI (150ch)
105,105,AUDI,A3 CABRIOLET,A3 CABRIOLET 2.0 TDI (150ch) quattro
106,106,AUDI,A3 CABRIOLET,A3 CABRIOLET 2.0 TDI (150ch) S tronic
107,107,AUDI,A3 LIMOUSINE,A3 Berline 1.4 TFSI (125ch)
108,108,AUDI,A3 LIMOUSINE,A3 Berline 1.4 TFSI (140ch)
109,109,AUDI,A3 LIMOUSINE,A3 Berline 1.4 TFSI (140ch) S tronic
110,110,AUDI,A3 LIMOUSINE,A3 Berline 1.6 TDI (105ch)
111,111,AUDI,A3 LIMOUSINE,A3 Berline 1.6 TDI (105ch) S tronic
112,112,AUDI,A3 LIMOUSINE,A3 Berline 1.8 TFSI (180ch)
113,113,AUDI,A3 LIMOUSINE,A3 Berline 1.8 TFSI (180ch) quattro S tronic
114,114,AUDI,A3 LIMOUSINE,A3 Berline 1.8 TFSI (180ch) S tronic
115,115,AUDI,A3 LIMOUSINE,A3 Berline 2.0 TDI (150ch)
116,116,AUDI,A3 LIMOUSINE,A3 Berline 2.0 TDI (150ch) quattro
117,117,AUDI,A3 LIMOUSINE,A3 Berline 2.0 TDI (150ch) S tronic
